[1, <=6.1, >3.2, <=3.95, <=1.3, Iris-setosa]
[60, <=6.1, <=3.2, <=3.95, >1.3, Iris-versicolor]
[61, <=6.1, <=3.2, <=3.95, <=1.3, Iris-versicolor]
[62, <=6.1, <=3.2, >3.95, >1.3, Iris-versicolor]
[63, <=6.1, <=3.2, >3.95, <=1.3, Iris-versicolor]
[64, <=6.1, <=3.2, >3.95, >1.3, Iris-versicolor]
[65, <=6.1, <=3.2, <=3.95, <=1.3, Iris-versicolor]
[66, >6.1, <=3.2, >3.95, >1.3, Iris-versicolor]
[67, <=6.1, <=3.2, >3.95, >1.3, Iris-versicolor]
[68, <=6.1, <=3.2, >3.95, <=1.3, Iris-versicolor]
[69, >6.1, <=3.2, >3.95, >1.3, Iris-versicolor]
[70, <=6.1, <=3.2, <=3.95, <=1.3, Iris-versicolor]
[71, <=6.1, <=3.2, >3.95, >1.3, Iris-versicolor]
[72, <=6.1, <=3.2, >3.95, <=1.3, Iris-versicolor]
[73, >6.1, <=3.2, >3.95, >1.3, Iris-versicolor]
[74, <=6.1, <=3.2, >3.95, <=1.3, Iris-versicolor]
[75, >6.1, <=3.2, >3.95, <=1.3, Iris-versicolor]
[76, >6.1, <=3.2, >3.95, >1.3, Iris-versicolor]
[77, >6.1, <=3.2, >3.95, >1.3, Iris-versicolor]
[78, >6.1, <=3.2, >3.95, >1.3, Iris-versicolor]
[79, <=6.1, <=3.2, >3.95, >1.3, Iris-versicolor]
[80, <=6.1, <=3.2, <=3.95, <=1.3, Iris-versicolor]
[81, <=6.1, <=3.2, <=3.95, <=1.3, Iris-versicolor]
[82, <=6.1, <=3.2, <=3.95, <=1.3, Iris-versicolor]
[83, <=6.1, <=3.2, <=3.95, <=1.3, Iris-versicolor]
[84, <=6.1, <=3.2, >3.95, >1.3, Iris-versicolor]
[85, <=6.1, <=3.2, >3.95, >1.3, Iris-versicolor]
[86, <=6.1, >3.2, >3.95, >1.3, Iris-versicolor]
[87, >6.1, <=3.2, >3.95, >1.3, Iris-versicolor]
[88, >6.1, <=3.2, >3.95, <=1.3, Iris-versicolor]
[89, <=6.1, <=3.2, >3.95, <=1.3, Iris-versicolor]
[90, <=6.1, <=3.2, >3.95, <=1.3, Iris-versicolor]
[91, <=6.1, <=3.2, >3.95, <=1.3, Iris-versicolor]
[92, <=6.1, <=3.2, >3.95, >1.3, Iris-versicolor]
[93, <=6.1, <=3.2, >3.95, <=1.3, Iris-versicolor]
[94, <=6.1, <=3.2, <=3.95, <=1.3, Iris-versicolor]
[95, <=6.1, <=3.2, >3.95, <=1.3, Iris-versicolor]
[96, <=6.1, <=3.2, >3.95, <=1.3, Iris-versicolor]
[97, <=6.1, <=3.2, >3.95, <=1.3, Iris-versicolor]
[98, >6.1, <=3.2, >3.95, <=1.3, Iris-versicolor]
[99, <=6.1, <=3.2, <=3.95, <=1.3, Iris-versicolor]
[100, <=6.1, <=3.2, >3.95, <=1.3, Iris-versicolor]
[101, >6.1, >3.2, >3.95, >1.3, Iris-virginica]
[102, <=6.1, <=3.2, >3.95, >1.3, Iris-virginica]
[103, >6.1, <=3.2, >3.95, >1.3, Iris-virginica]
[104, >6.1, <=3.2, >3.95, >1.3, Iris-virginica]
[105, >6.1, <=3.2, >3.95, >1.3, Iris-virginica]
[106, >6.1, <=3.2, >3.95, >1.3, Iris-virginica]
[107, <=6.1, <=3.2, >3.95, >1.3, Iris-virginica]
[108, >6.1, <=3.2, >3.95, >1.3, Iris-virginica]
[109, >6.1, <=3.2, >3.95, >1.3, Iris-virginica]
[110, >6.1, >3.2, >3.95, >1.3, Iris-virginica]
[111, >6.1, <=3.2, >3.95, >1.3, Iris-virginica]
[112, >6.1, <=3.2, >3.95, >1.3, Iris-virginica]
[113, >6.1, <=3.2, >3.95, >1.3, Iris-virginica]
[114, <=6.1, <=3.2, >3.95, >1.3, Iris-virginica]
[115, <=6.1, <=3.2, >3.95, >1.3, Iris-virginica]
[116, >6.1, <=3.2, >3.95, >1.3, Iris-virginica]
[117, >6.1, <=3.2, >3.95, >1.3, Iris-virginica]
[118, >6.1, >3.2, >3.95, >1.3, Iris-virginica]
[119, >6.1, <=3.2, >3.95, >1.3, Iris-virginica]
[120, <=6.1, <=3.2, >3.95, >1.3, Iris-virginica]
[121, >6.1, <=3.2, >3.95, >1.3, Iris-virginica]
[122, <=6.1, <=3.2, >3.95, >1.3, Iris-virginica]
[123, >6.1, <=3.2, >3.95, >1.3, Iris-virginica]
[124, >6.1, <=3.2, >3.95, >1.3, Iris-virginica]
[125, >6.1, >3.2, >3.95, >1.3, Iris-virginica]
[126, >6.1, <=3.2, >3.95, >1.3, Iris-virginica]
[127, >6.1, <=3.2, >3.95, >1.3, Iris-virginica]
[128, <=6.1, <=3.2, >3.95, >1.3, Iris-virginica]
[129, >6.1, <=3.2, >3.95, >1.3, Iris-virginica]
[130, >6.1, <=3.2, >3.95, >1.3, Iris-virginica]
[131, >6.1, <=3.2, >3.95, >1.3, Iris-virginica]
[132, >6.1, >3.2, >3.95, >1.3, Iris-virginica]
[133, >6.1, <=3.2, >3.95, >1.3, Iris-virginica]
[134, >6.1, <=3.2, >3.95, >1.3, Iris-virginica]
[135, <=6.1, <=3.2, >3.95, >1.3, Iris-virginica]
[136, >6.1, <=3.2, >3.95, >1.3, Iris-virginica]
[137, >6.1, >3.2, >3.95, >1.3, Iris-virginica]
[138, >6.1, <=3.2, >3.95, >1.3, Iris-virginica]
[139, <=6.1, <=3.2, >3.95, >1.3, Iris-virginica]
[140, >6.1, <=3.2, >3.95, >1.3, Iris-virginica]
[141, >6.1, <=3.2, >3.95, >1.3, Iris-virginica]
[142, >6.1, <=3.2, >3.95, >1.3, Iris-virginica]
[143, <=6.1, <=3.2, >3.95, >1.3, Iris-virginica]
[144, >6.1, <=3.2, >3.95, >1.3, Iris-virginica]
[145, >6.1, >3.2, >3.95, >1.3, Iris-virginica]
[146, >6.1, <=3.2, >3.95, >1.3, Iris-virginica]
[147, >6.1, <=3.2, >3.95, >1.3, Iris-virginica]
[148, >6.1, <=3.2, >3.95, >1.3, Iris-virginica]
[149, >6.1, >3.2, >3.95, >1.3, Iris-virginica]
[150, <=6.1, <=3.2, >3.95, >1.3, Iris-virginica]
