Atributos :[ID, sepallength, sepalwidth, petallength, petalwidth, class]
Exemplo 25: [25, 4.8, 3.4, 1.9, 0.2, Iris-setosa]
Exemplo 26: [26, 5.0, 3.0, 1.6, 0.2, Iris-setosa]
Exemplo 27: [27, 5.0, 3.4, 1.6, 0.4, Iris-setosa]
Exemplo 28: [28, 5.2, 3.5, 1.5, 0.2, Iris-setosa]
Exemplo 29: [29, 5.2, 3.4, 1.4, 0.2, Iris-setosa]
Exemplo 30: [30, 4.7, 3.2, 1.6, 0.2, Iris-setosa]
Exemplo 31: [31, 4.8, 3.1, 1.6, 0.2, Iris-setosa]
Exemplo 32: [32, 5.4, 3.4, 1.5, 0.4, Iris-setosa]
Exemplo 33: [33, 5.2, 4.1, 1.5, 0.1, Iris-setosa]
Exemplo 34: [34, 5.5, 4.2, 1.4, 0.2, Iris-setosa]
Exemplo 35: [35, 4.9, 3.1, 1.5, 0.1, Iris-setosa]
Exemplo 36: [36, 5.0, 3.2, 1.2, 0.2, Iris-setosa]
Exemplo 37: [37, 5.5, 3.5, 1.3, 0.2, Iris-setosa]
Exemplo 38: [38, 4.9, 3.1, 1.5, 0.1, Iris-setosa]
Exemplo 39: [39, 4.4, 3.0, 1.3, 0.2, Iris-setosa]
Exemplo 40: [40, 5.1, 3.4, 1.5, 0.2, Iris-setosa]
Exemplo 41: [41, 5.0, 3.5, 1.3, 0.3, Iris-setosa]
Exemplo 42: [42, 4.5, 2.3, 1.3, 0.3, Iris-setosa]
Exemplo 43: [43, 4.4, 3.2, 1.3, 0.2, Iris-setosa]
Exemplo 44: [44, 5.0, 3.5, 1.6, 0.6, Iris-setosa]
Exemplo 45: [45, 5.1, 3.8, 1.9, 0.4, Iris-setosa]
Exemplo 46: [46, 4.8, 3.0, 1.4, 0.3, Iris-setosa]
Exemplo 47: [47, 5.1, 3.8, 1.6, 0.2, Iris-setosa]
Exemplo 48: [48, 4.6, 3.2, 1.4, 0.2, Iris-setosa]
Exemplo 49: [49, 5.3, 3.7, 1.5, 0.2, Iris-setosa]
Exemplo 50: [50, 5.0, 3.3, 1.4, 0.2, Iris-setosa]
Exemplo 51: [51, 7.0, 3.2, 4.7, 1.4, Iris-versicolor]
Exemplo 52: [52, 6.4, 3.2, 4.5, 1.5, Iris-versicolor]
Exemplo 53: [53, 6.9, 3.1, 4.9, 1.5, Iris-versicolor]
Exemplo 54: [54, 5.5, 2.3, 4.0, 1.3, Iris-versicolor]
Exemplo 55: [55, 6.5, 2.8, 4.6, 1.5, Iris-versicolor]
Exemplo 56: [56, 5.7, 2.8, 4.5, 1.3, Iris-versicolor]
Exemplo 57: [57, 6.3, 3.3, 4.7, 1.6, Iris-versicolor]
Exemplo 58: [58, 4.9, 2.4, 3.3, 1.0, Iris-versicolor]
Exemplo 59: [59, 6.6, 2.9, 4.6, 1.3, Iris-versicolor]
Exemplo 60: [60, 5.2, 2.7, 3.9, 1.4, Iris-versicolor]
Exemplo 61: [61, 5.0, 2.0, 3.5, 1.0, Iris-versicolor]
Exemplo 62: [62, 5.9, 3.0, 4.2, 1.5, Iris-versicolor]
Exemplo 63: [63, 6.0, 2.2, 4.0, 1.0, Iris-versicolor]
Exemplo 64: [64, 6.1, 2.9, 4.7, 1.4, Iris-versicolor]
Exemplo 65: [65, 5.6, 2.9, 3.6, 1.3, Iris-versicolor]
Exemplo 66: [66, 6.7, 3.1, 4.4, 1.4, Iris-versicolor]
Exemplo 67: [67, 5.6, 3.0, 4.5, 1.5, Iris-versicolor]
Exemplo 68: [68, 5.8, 2.7, 4.1, 1.0, Iris-versicolor]
Exemplo 69: [69, 6.2, 2.2, 4.5, 1.5, Iris-versicolor]
Exemplo 70: [70, 5.6, 2.5, 3.9, 1.1, Iris-versicolor]
Exemplo 71: [71, 5.9, 3.2, 4.8, 1.8, Iris-versicolor]
Exemplo 72: [72, 6.1, 2.8, 4.0, 1.3, Iris-versicolor]
Exemplo 73: [73, 6.3, 2.5, 4.9, 1.5, Iris-versicolor]
Exemplo 74: [74, 6.1, 2.8, 4.7, 1.2, Iris-versicolor]
Exemplo 75: [75, 6.4, 2.9, 4.3, 1.3, Iris-versicolor]
Exemplo 76: [76, 6.6, 3.0, 4.4, 1.4, Iris-versicolor]
Exemplo 77: [77, 6.8, 2.8, 4.8, 1.4, Iris-versicolor]
Exemplo 78: [78, 6.7, 3.0, 5.0, 1.7, Iris-versicolor]
Exemplo 79: [79, 6.0, 2.9, 4.5, 1.5, Iris-versicolor]
Exemplo 80: [80, 5.7, 2.6, 3.5, 1.0, Iris-versicolor]
Exemplo 81: [81, 5.5, 2.4, 3.8, 1.1, Iris-versicolor]
Exemplo 82: [82, 5.5, 2.4, 3.7, 1.0, Iris-versicolor]
Exemplo 83: [83, 5.8, 2.7, 3.9, 1.2, Iris-versicolor]
Exemplo 84: [84, 6.0, 2.7, 5.1, 1.6, Iris-versicolor]
Exemplo 85: [85, 5.4, 3.0, 4.5, 1.5, Iris-versicolor]
Exemplo 86: [86, 6.0, 3.4, 4.5, 1.6, Iris-versicolor]
Exemplo 87: [87, 6.7, 3.1, 4.7, 1.5, Iris-versicolor]
Exemplo 88: [88, 6.3, 2.3, 4.4, 1.3, Iris-versicolor]
Exemplo 89: [89, 5.6, 3.0, 4.1, 1.3, Iris-versicolor]
Exemplo 90: [90, 5.5, 2.5, 4.0, 1.3, Iris-versicolor]
Exemplo 91: [91, 5.5, 2.6, 4.4, 1.2, Iris-versicolor]
Exemplo 92: [92, 6.1, 3.0, 4.6, 1.4, Iris-versicolor]
Exemplo 93: [93, 5.8, 2.6, 4.0, 1.2, Iris-versicolor]
Exemplo 94: [94, 5.0, 2.3, 3.3, 1.0, Iris-versicolor]
Exemplo 95: [95, 5.6, 2.7, 4.2, 1.3, Iris-versicolor]
Exemplo 96: [96, 5.7, 3.0, 4.2, 1.2, Iris-versicolor]
Exemplo 97: [97, 5.7, 2.9, 4.2, 1.3, Iris-versicolor]
Exemplo 98: [98, 6.2, 2.9, 4.3, 1.3, Iris-versicolor]
Exemplo 99: [99, 5.1, 2.5, 3.0, 1.1, Iris-versicolor]
Exemplo 100: [100, 5.7, 2.8, 4.1, 1.3, Iris-versicolor]
Exemplo 101: [101, 6.3, 3.3, 6.0, 2.5, Iris-virginica]
Exemplo 102: [102, 5.8, 2.7, 5.1, 1.9, Iris-virginica]
Exemplo 103: [103, 7.1, 3.0, 5.9, 2.1, Iris-virginica]
Exemplo 104: [104, 6.3, 2.9, 5.6, 1.8, Iris-virginica]
Exemplo 105: [105, 6.5, 3.0, 5.8, 2.2, Iris-virginica]
Exemplo 106: [106, 7.6, 3.0, 6.6, 2.1, Iris-virginica]
Exemplo 107: [107, 4.9, 2.5, 4.5, 1.7, Iris-virginica]
Exemplo 108: [108, 7.3, 2.9, 6.3, 1.8, Iris-virginica]
Exemplo 109: [109, 6.7, 2.5, 5.8, 1.8, Iris-virginica]
Exemplo 110: [110, 7.2, 3.6, 6.1, 2.5, Iris-virginica]
Exemplo 111: [111, 6.5, 3.2, 5.1, 2.0, Iris-virginica]
Exemplo 112: [112, 6.4, 2.7, 5.3, 1.9, Iris-virginica]
Exemplo 113: [113, 6.8, 3.0, 5.5, 2.1, Iris-virginica]
Exemplo 114: [114, 5.7, 2.5, 5.0, 2.0, Iris-virginica]
Exemplo 115: [115, 5.8, 2.8, 5.1, 2.4, Iris-virginica]
Exemplo 116: [116, 6.4, 3.2, 5.3, 2.3, Iris-virginica]
Exemplo 117: [117, 6.5, 3.0, 5.5, 1.8, Iris-virginica]
Exemplo 118: [118, 7.7, 3.8, 6.7, 2.2, Iris-virginica]
Exemplo 119: [119, 7.7, 2.6, 6.9, 2.3, Iris-virginica]
Exemplo 120: [120, 6.0, 2.2, 5.0, 1.5, Iris-virginica]
Exemplo 121: [121, 6.9, 3.2, 5.7, 2.3, Iris-virginica]
Exemplo 122: [122, 5.6, 2.8, 4.9, 2.0, Iris-virginica]
Exemplo 123: [123, 7.7, 2.8, 6.7, 2.0, Iris-virginica]
Exemplo 124: [124, 6.3, 2.7, 4.9, 1.8, Iris-virginica]
Exemplo 125: [125, 6.7, 3.3, 5.7, 2.1, Iris-virginica]
Exemplo 126: [126, 7.2, 3.2, 6.0, 1.8, Iris-virginica]
Exemplo 127: [127, 6.2, 2.8, 4.8, 1.8, Iris-virginica]
Exemplo 128: [128, 6.1, 3.0, 4.9, 1.8, Iris-virginica]
Exemplo 129: [129, 6.4, 2.8, 5.6, 2.1, Iris-virginica]
Exemplo 130: [130, 7.2, 3.0, 5.8, 1.6, Iris-virginica]
Exemplo 131: [131, 7.4, 2.8, 6.1, 1.9, Iris-virginica]
Exemplo 132: [132, 7.9, 3.8, 6.4, 2.0, Iris-virginica]
Exemplo 133: [133, 6.4, 2.8, 5.6, 2.2, Iris-virginica]
Exemplo 134: [134, 6.3, 2.8, 5.1, 1.5, Iris-virginica]
Exemplo 135: [135, 6.1, 2.6, 5.6, 1.4, Iris-virginica]
Exemplo 136: [136, 7.7, 3.0, 6.1, 2.3, Iris-virginica]
Exemplo 137: [137, 6.3, 3.4, 5.6, 2.4, Iris-virginica]
Exemplo 138: [138, 6.4, 3.1, 5.5, 1.8, Iris-virginica]
Exemplo 139: [139, 6.0, 3.0, 4.8, 1.8, Iris-virginica]
Exemplo 140: [140, 6.9, 3.1, 5.4, 2.1, Iris-virginica]
Exemplo 141: [141, 6.7, 3.1, 5.6, 2.4, Iris-virginica]
Exemplo 142: [142, 6.9, 3.1, 5.1, 2.3, Iris-virginica]
Exemplo 143: [143, 5.8, 2.7, 5.1, 1.9, Iris-virginica]
Exemplo 144: [144, 6.8, 3.2, 5.9, 2.3, Iris-virginica]
Exemplo 145: [145, 6.7, 3.3, 5.7, 2.5, Iris-virginica]
Exemplo 146: [146, 6.7, 3.0, 5.2, 2.3, Iris-virginica]
Exemplo 147: [147, 6.3, 2.5, 5.0, 1.9, Iris-virginica]
Exemplo 148: [148, 6.5, 3.0, 5.2, 2.0, Iris-virginica]
Exemplo 149: [149, 6.2, 3.4, 5.4, 2.3, Iris-virginica]
Exemplo 150: [150, 5.9, 3.0, 5.1, 1.8, Iris-virginica]
Atributo petalwidth
      0.1:
         Class :Iris-setosa 6
      1.0:
         Class :Iris-versicolor 7
      0.2:
         Class :Iris-setosa 28
      1.1:
         Class :Iris-versicolor 3
      2.0:
         Class :Iris-virginica 6
      0.3:
         Class :Iris-setosa 7
      1.2:
         Class :Iris-versicolor 5
      2.1:
         Class :Iris-virginica 6
      0.4:
         Class :Iris-setosa 7
      1.3:
         Class :Iris-versicolor 13
      2.2:
         Class :Iris-virginica 3
      0.5:
         Class :Iris-setosa 1
      1.4:
         Atributo sepalwidth
               3.0:
                  Class :Iris-versicolor 2
               3.1:
                  Class :Iris-versicolor 1
               3.2:
                  Class :Iris-versicolor 1
               2.6:
                  Class :Iris-virginica 1
               2.7:
                  Class :Iris-versicolor 1
               2.8:
                  Class :Iris-versicolor 1
               2.9:
                  Class :Iris-versicolor 1
      2.3:
         Class :Iris-virginica 8
      0.6:
         Class :Iris-setosa 1
      1.5:
         Atributo petallength
               5.0:
                  Class :Iris-virginica 1
               4.2:
                  Class :Iris-versicolor 1
               5.1:
                  Class :Iris-virginica 1
               4.5:
                  Class :Iris-versicolor 5
               4.6:
                  Class :Iris-versicolor 1
               4.7:
                  Class :Iris-versicolor 1
               4.9:
                  Class :Iris-versicolor 2
      2.4:
         Class :Iris-virginica 3
      1.6:
         Atributo sepallength
               6.0:
                  Class :Iris-versicolor 2
               6.3:
                  Class :Iris-versicolor 1
               7.2:
                  Class :Iris-virginica 1
      2.5:
         Class :Iris-virginica 3
      1.7:
         Atributo sepallength
               6.7:
                  Class :Iris-versicolor 1
               4.9:
                  Class :Iris-virginica 1
      1.8:
         Atributo petallength
               6.0:
                  Class :Iris-virginica 1
               5.1:
                  Class :Iris-virginica 1
               6.3:
                  Class :Iris-virginica 1
               5.5:
                  Class :Iris-virginica 2
               5.6:
                  Class :Iris-virginica 1
               4.8:
                  Atributo sepallength
                        5.9:
                           Class :Iris-versicolor 1
                        6.0:
                           Class :Iris-virginica 1
                        6.2:
                           Class :Iris-virginica 1
               5.8:
                  Class :Iris-virginica 1
               4.9:
                  Class :Iris-virginica 2
      1.9:
         Class :Iris-virginica 5
